JobID | Start Date           | End Date             | Exit Status
-----------------------------------------------------------------
42802 |   01:02:36 - 01/June |                    - | FAILED    
42803 |   07:14:56 - 01/June |                    - | FAILED    
42804 |   07:15:39 - 01/June |   08:49:10 - 02/June | COMPLETED: 0
42805 |   08:55:12 - 01/June |   14:43:22 - 01/June | COMPLETED: 2
42806 |   09:10:34 - 01/June |   09:10:36 - 01/June | COMPLETED: 1
42807 |   09:11:17 - 01/June |   09:11:20 - 01/June | COMPLETED: 1
42808 |   09:16:23 - 01/June |   09:28:29 - 01/June | COMPLETED: 0
42809 |   09:16:56 - 01/June |   09:28:44 - 01/June | COMPLETED: 0
42812 |   10:01:26 - 01/June |   10:01:40 - 01/June | COMPLETED: 0
42813 |   10:01:56 - 01/June |   10:02:06 - 01/June | COMPLETED: 0
42814 |   10:02:31 - 01/June |   10:03:02 - 01/June | COMPLETED: 0
42815 |   10:02:47 - 01/June |   10:02:51 - 01/June | COMPLETED: 0
42816 |   10:38:04 - 01/June |   10:38:17 - 01/June | COMPLETED: 0
42817 |   10:38:46 - 01/June |   10:38:47 - 01/June | COMPLETED: 1
42818 |   10:39:01 - 01/June |   10:39:02 - 01/June | COMPLETED: 1
42819 |   10:39:15 - 01/June |   10:39:20 - 01/June | COMPLETED: 0
42820 |   10:39:45 - 01/June |   10:39:49 - 01/June | COMPLETED: 0
42821 |   10:39:58 - 01/June |   10:40:18 - 01/June | COMPLETED: 0
42822 |   10:53:15 - 01/June |   10:54:26 - 01/June | COMPLETED: 0
42823 |   12:36:25 - 01/June |   12:36:26 - 01/June | COMPLETED: 1
42824 |   13:01:00 - 01/June |   13:01:32 - 01/June | COMPLETED: 0
42825 |   13:23:59 - 01/June |                    - | FAILED    
42827 |   13:37:19 - 01/June |                    - | FAILED    
42828 |   13:40:42 - 01/June |                    - | FAILED    
42830 |   13:44:35 - 01/June |   13:44:52 - 01/June | COMPLETED: 0
42829 |   13:45:39 - 01/June |                    - | FAILED    
42831 |   13:57:12 - 01/June |                    - | FAILED    
42832 |   13:57:50 - 01/June |                    - | FAILED    
42833 |   13:58:14 - 01/June |                    - | FAILED    
42834 |   15:15:32 - 01/June |                    - | FAILED    
42835 |   15:15:47 - 01/June |   15:15:47 - 01/June | COMPLETED: 1
42836 |   15:16:04 - 01/June |   15:16:06 - 01/June | COMPLETED: 2
